player_id,player_name,position,sub_position,country_of_citizenship,age_at_season_end,previous_season_label,current_season_label,previous_clubs,current_clubs,previous_minutes_played,current_minutes_played,minutes_change,previous_goal_contributions_per_90,current_goal_contributions_per_90,goal_contributions_per_90_change,previous_ending_market_value_eur,current_ending_market_value_eur,market_value_change_eur,market_value_percentage_change,value_and_performance_growth_rank
213670,Lucas Torró,Midfield,Defensive Midfield,Spain,28,2021-22,2022-23,CA Osasuna,CA Osasuna,2733,2488,-245,0.033,0.036,0.003,5000000,8000000,3000000,60,494
372712,Ibrahima Sissoko,Midfield,Defensive Midfield,Mali,24,2020-21,2021-22,RC Strasbourg Alsace,RC Strasbourg Alsace,2584,2307,-277,0,0.312,0.312,5500000,8000000,2500000,45.45,495
414908,Marshall Munetsi,Midfield,Central Midfield,Zimbabwe,26,2020-21,2021-22,Stade Reims,Stade Reims,1928,1885,-43,0.047,0.334,0.287,2500000,5000000,2500000,100,496
193900,Marius Wolf,Defender,Right-Back,Germany,27,2020-21,2021-22,1.FC Köln,Borussia Dortmund,2562,1322,-1240,0.176,0.34,0.164,4000000,6500000,2500000,62.5,497
287188,Dejan Ljubicic,Midfield,Defensive Midfield,Austria,25,2021-22,2022-23,1.FC Köln,1.FC Köln,1975,1722,-253,0.182,0.314,0.132,7500000,10000000,2500000,33.33,498
471055,Marvin Pieringer,Attack,Centre-Forward,Germany,25,2023-24,2024-25,1. Fußballclub Heidenheim 1846,1. Fußballclub Heidenheim 1846,1518,2225,707,0.356,0.485,0.129,3000000,5500000,2500000,83.33,499
307052,Masaya Okugawa,Attack,Left Winger,Japan,26,2020-21,2021-22,Arminia Bielefeld,Arminia Bielefeld,920,2544,1624,0.196,0.318,0.122,2500000,5000000,2500000,100,500
450050,Jean-Ricner Bellegarde,Midfield,Central Midfield,Haiti,24,2020-21,2021-22,RC Strasbourg Alsace,RC Strasbourg Alsace,2051,2349,298,0.088,0.192,0.104,5500000,8000000,2500000,45.45,501
671915,Enzo Barrenechea,Midfield,Defensive Midfield,Argentina,24,2023-24,2024-25,Frosinone Calcio,Valencia CF,2817,2206,-611,0.032,0.122,0.09,7500000,10000000,2500000,33.33,502
449151,Junior Messias,Attack,Right Winger,Brazil,31,2020-21,2021-22,FC Crotone,AC Milan,3218,1431,-1787,0.364,0.44,0.076,3500000,6000000,2500000,71.43,503
232320,Atakan Karazor,Midfield,Defensive Midfield,Türkiye,25,2020-21,2021-22,VfB Stuttgart,VfB Stuttgart,1031,1905,874,0,0.047,0.047,2000000,4500000,2500000,125,504
234523,Antonio Sanabria,Attack,Centre-Forward,Paraguay,27,2021-22,2022-23,Torino FC,Torino FC,1812,2443,631,0.546,0.589,0.043,7500000,10000000,2500000,33.33,505
217115,Neal Maupay,Attack,Centre-Forward,France,27,2022-23,2023-24,Everton FC,"Brentford FC, Everton FC",1115,1424,309,0.081,0.569,0.488,10000000,12000000,2000000,20,506
238407,Alexander Sørloth,Attack,Centre-Forward,Norway,27,2021-22,2022-23,Real Sociedad,"RB Leipzig, Real Sociedad",1760,2403,643,0.205,0.562,0.357,10000000,12000000,2000000,20,507
297070,Hamari Traoré,Defender,Right-Back,Mali,30,2020-21,2021-22,Stade Rennais FC,Stade Rennais FC,3003,2898,-105,0.06,0.404,0.344,8000000,10000000,2000000,25,508
584769,Dwight McNeil,Attack,Left Winger,England,23,2021-22,2022-23,Burnley FC,Everton FC,3112,2499,-613,0.029,0.36,0.331,18000000,20000000,2000000,11.11,509
344888,Habib Diallo,Attack,Centre-Forward,Senegal,27,2020-21,2021-22,"FC Metz, RC Strasbourg Alsace",RC Strasbourg Alsace,2474,1536,-938,0.437,0.762,0.325,10000000,12000000,2000000,20,510
